Member_number,Date,itemDescription
1216,2015-08-25,root vegetables
1216,2015-08-25,pastry
1216,2015-08-25,specialty fat
1216,2015-08-25,bottled water
1216,2015-08-25,napkins
1216,2015-08-25,tropical fruit
1217,2014-07-21,whole milk
1217,2014-07-21,sugar
1217,2014-12-03,citrus fruit
1217,2014-12-03,grapes
1217,2014-12-03,bottled water
1217,2015-02-18,whole milk
1217,2015-02-18,dog food
1217,2015-02-18,pastry
1218,2014-05-08,citrus fruit
1218,2014-05-28,meat
1218,2014-05-28,cling film/bags
1218,2014-05-28,curd
1218,2014-09-07,pork
1218,2014-09-07,frozen meals
1218,2015-06-13,other vegetables
1218,2015-06-13,fruit/vegetable juice
1218,2015-07-05,whole milk
1218,2015-07-05,sausage
1218,2015-07-05,yogurt
1218,2015-07-05,butter
1218,2015-08-20,tropical fruit
1218,2015-08-20,rolls/buns
1218,2015-08-20,frozen fish
1218,2015-12-29,tropical fruit
1218,2015-12-29,meat
1218,2015-12-29,whole milk
1218,2015-12-29,candles
1219,2014-07-03,red/blush wine
1219,2014-07-03,instant coffee
1219,2014-10-02,canned beer
1219,2014-10-02,brown bread
1220,2014-11-16,sausage
1220,2014-11-16,pasta
1220,2015-01-01,canned beer
1220,2015-01-01,margarine
1220,2015-01-01,chocolate
1220,2015-02-09,rolls/buns
1220,2015-02-09,specialty chocolate
1220,2015-02-09,napkins
1220,2015-02-09,onions
1220,2015-02-09,rice
1220,2015-02-09,butter milk
1220,2015-02-09,dental care
1220,2015-09-08,pastry
1220,2015-09-08,waffles
1220,2015-12-29,frankfurter
1220,2015-12-29,ice cream
1221,2014-11-15,sugar
1221,2014-11-15,bottled water
1222,2015-08-07,canned beer
1222,2015-08-07,coffee
1222,2015-09-24,condensed milk
1222,2015-09-24,onions
1223,2014-09-05,citrus fruit
1223,2014-09-05,butter
1223,2014-09-05,uht-milk
1223,2014-09-20,packaged fruit/vegetables
1223,2014-09-20,flour
1223,2014-11-18,citrus fruit
1223,2014-11-18,semi-finished bread
1223,2014-11-18,yogurt
1223,2015-11-30,ham
1223,2015-11-30,rum
1224,2014-08-31,uht-milk
1224,2014-08-31,cooking chocolate
1224,2014-09-20,sausage
1224,2014-09-20,specialty chocolate
1225,2014-03-03,whole milk
1225,2014-03-03,curd
1225,2014-09-02,pastry
1225,2014-09-02,rolls/buns
1225,2014-10-03,white bread
1225,2014-10-03,jam
1225,2014-11-29,butter milk
1225,2014-11-29,soda
1225,2014-11-29,seasonal products
1225,2015-02-26,shopping bags
1225,2015-02-26,whole milk
1225,2015-02-26,detergent
1225,2015-02-26,flour
1225,2015-03-26,dessert
1225,2015-03-26,sliced cheese
1225,2015-03-26,bottled beer
1225,2015-03-26,other vegetables
1225,2015-05-20,photo/film
1225,2015-05-20,brown bread
1226,2015-04-13,hard cheese
1226,2015-04-13,pastry
1226,2015-11-12,beef
1226,2015-11-12,citrus fruit
1226,2015-11-12,specialty bar
1226,2015-11-12,white bread
1226,2015-11-12,soda
1226,2015-11-12,vinegar
1226,2015-11-12,long life bakery product
1226,2015-11-12,domestic eggs
1227,2014-05-08,yogurt
1227,2014-05-08,whipped/sour cream
1228,2015-02-23,photo/film
1228,2015-02-23,beverages
1228,2015-02-23,bottled beer
1229,2014-07-26,mustard
1229,2014-07-26,brown bread
1229,2014-09-03,beef
1229,2014-09-03,white bread
1229,2014-09-03,frozen potato products
1229,2015-03-20,ham
1229,2015-03-20,whipped/sour cream
1229,2015-03-20,newspapers
1230,2014-03-16,canned beer
1230,2014-03-16,sliced cheese
1230,2014-12-17,soda
1230,2014-12-17,canned beer
1230,2015-01-27,soda
1230,2015-01-27,butter milk
1230,2015-04-06,whole milk
1230,2015-04-06,other vegetables
1230,2015-05-19,ham
1230,2015-05-19,domestic eggs
1230,2015-11-19,frankfurter
1230,2015-11-19,pastry
1230,2015-11-19,misc. beverages
1231,2014-09-29,yogurt
1231,2014-09-29,margarine
1231,2014-11-23,hard cheese
1231,2014-11-23,soda
1231,2015-01-27,ice cream
1231,2015-01-27,onions
1231,2015-05-20,white wine
1231,2015-05-20,photo/film
1231,2015-05-20,whipped/sour cream
1231,2015-06-28,grapes
1231,2015-06-28,detergent
1231,2015-10-14,sausage
1231,2015-10-14,root vegetables
1231,2015-10-27,pork
1231,2015-10-27,sliced cheese
1231,2015-10-27,flour
1232,2014-08-08,pasta
1232,2014-08-08,canned beer
1232,2015-01-21,rolls/buns
1232,2015-01-21,bottled beer
1232,2015-07-01,butter
1232,2015-07-01,grapes
1232,2015-07-01,bottled water
1233,2014-04-07,uht-milk
1233,2014-04-07,curd
1233,2014-06-09,whipped/sour cream
1233,2014-06-09,shopping bags
1233,2014-08-28,other vegetables
1233,2014-08-28,rolls/buns
1233,2015-03-20,rolls/buns
1233,2015-03-20,whipped/sour cream
1233,2015-03-20,waffles
1233,2015-03-20,margarine
1233,2015-03-20,soda
1233,2015-03-20,salty snack
1233,2015-03-20,canned beer
1233,2015-07-31,chicken
1233,2015-07-31,whole milk
1233,2015-08-13,butter milk
1233,2015-08-13,other vegetables
1234,2014-03-16,root vegetables
1234,2014-03-16,margarine
1234,2014-03-16,bottled water
1234,2014-04-14,yogurt
1234,2014-04-14,shopping bags
1234,2014-04-14,coffee
1234,2014-05-12,curd
1234,2014-05-12,pastry
1234,2015-11-20,salty snack
1234,2015-11-20,root vegetables
1235,2014-05-26,butter
1235,2014-05-26,roll products
1235,2014-06-14,canned beer
1235,2014-06-14,bottled beer
1235,2014-06-25,other vegetables
1235,2014-06-25,curd
1235,2014-06-25,abrasive cleaner
1235,2014-10-04,condensed milk
1235,2014-10-04,other vegetables
1235,2014-11-01,bottled water
1235,2014-11-01,soda
1235,2014-11-05,dog food
1235,2014-11-05,processed cheese
1235,2015-01-01,sausage
1235,2015-01-01,bottled beer
1235,2015-01-01,spread cheese
1235,2015-05-29,shopping bags
1235,2015-05-29,waffles
1236,2014-06-27,newspapers
1236,2014-06-27,pip fruit
1236,2014-06-27,dishes
1236,2015-05-11,whole milk
1236,2015-05-11,cling film/bags
1237,2014-01-25,butter milk
1237,2014-01-25,hard cheese
1237,2014-02-22,cleaner
1237,2014-02-22,misc. beverages
1237,2014-03-12,citrus fruit
1237,2014-03-12,other vegetables
1237,2014-06-22,pork
1237,2014-06-22,other vegetables
1237,2014-06-22,cream cheese
1237,2014-10-16,beverages
1237,2014-10-16,sugar
1237,2015-03-08,rolls/buns
1237,2015-03-08,hard cheese
1237,2015-04-09,ham
1237,2015-04-09,whole milk
1237,2015-04-09,other vegetables
1237,2015-04-09,soda
1237,2015-04-09,white bread
1237,2015-04-09,tropical fruit
1237,2015-04-09,sugar
1238,2015-03-01,frankfurter
1238,2015-03-01,margarine
1239,2014-04-18,meat
1239,2014-04-18,soda
1239,2014-08-02,roll products
1239,2014-08-02,waffles
1239,2015-01-24,condensed milk
1239,2015-01-24,whole milk
1239,2015-03-22,sausage
1239,2015-03-22,processed cheese
1239,2015-07-02,whipped/sour cream
1239,2015-07-02,yogurt
1239,2015-07-25,finished products
1239,2015-07-25,yogurt
1239,2015-07-25,bottled beer
1239,2015-07-25,bottled water
1239,2015-08-31,brown bread
1239,2015-08-31,tropical fruit
1240,2014-07-15,onions
1240,2014-07-15,hard cheese
1240,2014-11-27,soda
1240,2014-11-27,shopping bags
1240,2015-04-14,frozen vegetables
1240,2015-04-14,sausage
1240,2015-04-14,whole milk
1240,2015-04-14,rolls/buns
1240,2015-04-14,other vegetables
1240,2015-04-14,oil
1240,2015-04-14,frozen fish
1240,2015-04-14,baking powder
1241,2014-01-03,oil
1241,2014-01-03,margarine
1241,2014-01-11,whole milk
1241,2014-01-11,specialty cheese
1241,2014-08-14,specialty chocolate
1241,2014-08-14,pasta
1241,2014-08-14,soda
1241,2014-08-14,long life bakery product
1241,2015-05-22,meat
1241,2015-05-22,other vegetables
1241,2015-05-22,pasta
1242,2014-12-16,butter
1242,2014-12-16,chocolate
1242,2015-04-04,citrus fruit
1242,2015-04-04,other vegetables
1242,2015-05-18,sausage
1242,2015-05-18,frozen meals
1242,2015-12-04,sausage
1242,2015-12-04,dog food
1242,2015-12-04,bottled beer
1242,2015-12-04,bottled water
1242,2015-12-13,beverages
1242,2015-12-13,sugar
1242,2015-12-13,pasta
1242,2015-12-13,domestic eggs
1242,2015-12-14,shopping bags
1242,2015-12-14,tropical fruit
1243,2014-01-08,soda
1243,2014-01-08,cling film/bags
1244,2014-09-07,uht-milk
1244,2014-09-07,soft cheese
1244,2014-11-24,candy
1244,2014-11-24,soda
1244,2014-11-25,rolls/buns
1244,2014-11-25,salty snack
1244,2014-11-25,bottled water
1244,2014-11-25,shopping bags
1245,2014-07-12,onions
1245,2014-07-12,soft cheese
1245,2014-09-27,coffee
1245,2014-09-27,white bread
1245,2015-03-02,dessert
1245,2015-03-02,condensed milk
1245,2015-03-02,rolls/buns
1245,2015-03-02,shopping bags
1245,2015-06-27,soda
1245,2015-06-27,canned fruit
1245,2015-06-27,processed cheese
1245,2015-06-27,shopping bags
1245,2015-09-24,grapes
1245,2015-09-24,other vegetables
1245,2015-10-08,tropical fruit
1245,2015-10-08,rolls/buns
1245,2015-12-04,turkey
1245,2015-12-04,shopping bags
1246,2014-03-03,whipped/sour cream
1246,2014-03-03,yogurt
1246,2014-05-02,yogurt
1246,2014-05-02,canned beer
1246,2014-06-13,tropical fruit
1246,2014-06-13,berries
1246,2014-12-29,other vegetables
1246,2014-12-29,uht-milk
1247,2014-06-08,butter
1247,2014-06-08,candy
1247,2014-10-04,frozen vegetables
1247,2014-10-04,other vegetables
1248,2014-02-01,chicken
1248,2014-02-01,butter
1248,2014-03-25,margarine
1248,2014-05-08,citrus fruit
1248,2014-05-08,skin care
1248,2014-05-09,root vegetables
1248,2014-05-09,frozen vegetables
1248,2014-07-24,dessert
1248,2014-07-24,packaged fruit/vegetables
1248,2014-08-14,tropical fruit
1248,2014-08-14,pip fruit
1248,2015-08-25,beef
1248,2015-08-25,curd
1248,2015-12-15,frankfurter
1248,2015-12-15,whole milk
1249,2014-01-01,citrus fruit
1249,2014-01-01,coffee
1249,2014-10-11,soda
1249,2014-10-11,frozen meals
1249,2014-10-11,bottled beer
1250,2014-10-08,other vegetables
1250,2014-10-08,chewing gum
1251,2015-11-26,canned beer
1251,2015-11-26,dessert
1251,2015-11-26,fruit/vegetable juice
1252,2014-08-28,grapes
1252,2014-08-28,other vegetables
1252,2015-03-11,chicken
1252,2015-03-11,pastry
1252,2015-04-13,pork
1252,2015-04-13,turkey
1252,2015-04-13,pot plants
1252,2015-04-13,whole milk
1252,2015-04-13,soda
1252,2015-04-13,dishes
1253,2014-03-01,pastry
1253,2014-03-01,liqueur
1253,2015-06-20,sausage
1253,2015-06-20,processed cheese
1253,2015-06-20,baking powder
1253,2015-06-20,specialty cheese
1254,2014-03-03,ham
1254,2014-03-03,napkins
1254,2015-04-19,white wine
1254,2015-04-19,specialty bar
1254,2015-04-19,specialty chocolate
1255,2014-09-26,soda
1255,2014-09-26,red/blush wine
1256,2014-06-17,tea
1256,2014-06-17,coffee
1256,2014-10-14,sugar
1256,2014-10-14,other vegetables
1256,2014-11-07,berries
1256,2014-11-07,domestic eggs
1256,2015-08-02,sausage
1256,2015-08-02,coffee
1256,2015-08-29,uht-milk
1256,2015-08-29,herbs
1256,2015-08-29,butter
1256,2015-08-29,oil
1257,2014-05-19,frozen dessert
1257,2014-05-19,cream cheese
1257,2014-09-16,rolls/buns
1257,2014-09-16,yogurt
1258,2014-05-04,yogurt
1258,2014-05-04,coffee
1258,2014-08-09,rolls/buns
1258,2014-08-09,fruit/vegetable juice
1258,2014-08-09,frozen vegetables
1258,2014-08-09,whipped/sour cream
1259,2014-04-20,whole milk
1259,2014-04-20,shopping bags
1259,2014-06-10,hamburger meat
1259,2014-06-10,coffee
1259,2014-06-24,fruit/vegetable juice
1259,2014-06-24,berries
1259,2015-09-20,ice cream
1259,2015-09-20,whole milk
1259,2015-11-21,sausage
1259,2015-11-21,grapes
1259,2015-11-21,sliced cheese
1259,2015-11-21,napkins
1259,2015-11-27,pork
1259,2015-11-27,root vegetables
1260,2014-07-09,sausage
1260,2014-07-09,curd
1260,2014-10-04,pip fruit
1260,2014-10-04,shopping bags
1261,2014-10-06,whole milk
1261,2014-10-06,domestic eggs
1261,2014-10-06,canned vegetables
1261,2014-10-06,flower (seeds)
1261,2015-05-21,rolls/buns
1261,2015-05-21,hard cheese
1261,2015-05-21,flour
1262,2014-07-12,organic sausage
1262,2014-07-12,frozen meals
1262,2014-07-12,sugar
1262,2014-07-22,whole milk
1262,2014-07-22,onions
1262,2014-07-22,pickled vegetables
1263,2014-05-11,citrus fruit
1263,2014-05-11,other vegetables
1263,2014-10-19,frozen meals
1263,2014-10-19,bottled beer
1264,2014-12-11,tropical fruit
1264,2014-12-11,white bread
1264,2014-12-11,butter
1264,2015-07-30,sausage
1264,2015-07-30,other vegetables
1264,2015-07-30,tropical fruit
1264,2015-07-30,mayonnaise
1264,2015-10-12,specialty bar
1264,2015-10-12,tropical fruit
1264,2015-11-17,bottled water
1264,2015-11-17,pastry
1264,2015-11-23,sugar
1264,2015-11-23,curd
1264,2015-12-07,tropical fruit
1264,2015-12-07,yogurt
1264,2015-12-07,semi-finished bread
1264,2015-12-07,soda
1265,2014-02-01,other vegetables
1265,2014-02-01,whole milk
1265,2014-02-01,soda
1265,2014-12-05,uht-milk
1265,2014-12-05,canned fish
1265,2014-12-05,root vegetables
1265,2014-12-05,waffles
1265,2015-01-19,hamburger meat
1265,2015-01-19,other vegetables
1265,2015-01-19,domestic eggs
1265,2015-03-07,cream cheese
1265,2015-03-07,pip fruit
1265,2015-03-07,citrus fruit
1265,2015-03-07,chicken
1265,2015-03-07,other vegetables
1265,2015-03-07,curd
1265,2015-03-07,specialty chocolate
1265,2015-03-07,pastry
1265,2015-04-13,pork
1265,2015-04-13,yogurt
1265,2015-09-29,shopping bags
1265,2015-09-29,tropical fruit
1265,2015-09-29,red/blush wine
1265,2015-10-03,pork
1265,2015-10-03,brown bread
1266,2014-08-27,other vegetables
1266,2014-08-27,sliced cheese
1267,2014-05-15,butter
1267,2014-05-15,whole milk
1268,2014-01-30,other vegetables
1268,2014-01-30,margarine
1268,2014-01-30,brown bread
1268,2014-07-22,whole milk
1268,2014-07-22,misc. beverages
1268,2014-09-26,white wine
1268,2014-09-26,sauces
1268,2014-10-19,oil
1268,2014-10-19,canned fish
1269,2014-04-14,rolls/buns
1269,2014-04-14,seasonal products
1269,2014-04-24,tropical fruit
1269,2014-04-24,root vegetables
1269,2014-10-07,red/blush wine
1269,2014-10-07,frozen meals
1269,2014-10-07,canned fruit
1269,2015-09-12,other vegetables
1269,2015-09-12,liquor
1269,2015-09-12,whole milk
1269,2015-09-12,butter milk
1269,2015-09-30,other vegetables
1269,2015-09-30,whole milk
1269,2015-09-30,softener
1270,2014-07-12,cake bar
1270,2014-07-12,flower soil/fertilizer
1270,2015-02-03,citrus fruit
1270,2015-02-03,cereals
1270,2015-04-25,pork
1270,2015-04-25,napkins
1272,2014-07-27,specialty bar
1272,2014-07-27,cleaner
1273,2015-01-31,pork
1273,2015-01-31,pastry
1273,2015-05-04,artif. sweetener
1273,2015-05-04,whole milk
1274,2014-04-25,tidbits
1274,2014-04-25,cream cheese
1274,2014-05-16,dessert
1274,2014-05-16,rolls/buns
1274,2014-07-10,coffee
1274,2014-07-10,other vegetables
1274,2014-07-10,specialty cheese
1275,2014-01-18,frozen potato products
1275,2014-01-18,domestic eggs
1275,2014-01-18,shopping bags
1275,2014-01-18,butter milk
1275,2014-06-10,citrus fruit
1275,2014-06-10,pastry
1275,2014-06-19,ice cream
1275,2014-06-19,butter
1275,2014-11-06,rolls/buns
1275,2014-11-06,dental care
1275,2015-02-17,sausage
1275,2015-02-17,onions
1275,2015-02-17,mustard
1275,2015-04-11,salt
1275,2015-04-11,citrus fruit
1275,2015-05-07,root vegetables
1275,2015-05-07,butter
1275,2015-05-07,dessert
1275,2015-06-04,curd
1275,2015-06-04,hygiene articles
1275,2015-07-16,other vegetables
1275,2015-07-16,whole milk
1275,2015-10-18,white bread
1275,2015-10-18,specialty chocolate
1276,2014-06-07,dessert
1276,2014-06-07,house keeping products
1276,2015-03-26,hard cheese
1276,2015-03-26,yogurt
1276,2015-04-28,sausage
1276,2015-04-28,whole milk
1276,2015-04-28,rolls/buns
1276,2015-04-28,bottled beer
1276,2015-08-28,whole milk
1276,2015-08-28,cream cheese
1276,2015-08-28,semi-finished bread
1276,2015-11-23,condensed milk
1276,2015-11-23,hard cheese
1277,2014-01-25,butter
1277,2014-01-25,brown bread
1277,2015-03-02,frankfurter
1277,2015-03-02,shopping bags
1277,2015-06-07,photo/film
1277,2015-06-07,whole milk
1277,2015-06-07,yogurt
1277,2015-06-07,white bread
1277,2015-06-07,pot plants
1277,2015-06-07,dessert
1277,2015-10-23,whipped/sour cream
1277,2015-10-23,other vegetables
1277,2015-12-01,sausage
1277,2015-12-01,rolls/buns
1278,2014-01-24,root vegetables
1278,2014-01-24,newspapers
1278,2014-09-06,citrus fruit
1278,2014-09-06,hamburger meat
1278,2014-09-06,photo/film
1278,2015-11-07,meat
1278,2015-11-07,root vegetables
1278,2015-12-09,other vegetables
1278,2015-12-09,cookware
1278,2015-12-09,canned beer
1278,2015-12-09,frozen vegetables
1278,2015-12-09,butter
1278,2015-12-09,ice cream
1278,2015-12-09,bottled water
1279,2014-02-13,oil
1279,2014-02-13,butter
1279,2014-04-28,pastry
1279,2014-04-28,sliced cheese
1279,2014-08-25,chicken
1279,2014-08-25,soda
1279,2015-07-19,root vegetables
1279,2015-07-19,ham
1279,2015-09-06,tropical fruit
1279,2015-09-06,yogurt
1279,2015-09-06,sausage
1279,2015-09-06,rolls/buns
1279,2015-09-10,beverages
1279,2015-09-10,sausage
1279,2015-09-10,whole milk
1279,2015-09-10,citrus fruit
1280,2014-03-20,finished products
1280,2014-03-20,rolls/buns
1280,2014-04-13,butter milk
1280,2014-04-13,spices
1280,2014-04-17,spices
1280,2014-04-17,ice cream
1280,2015-08-12,uht-milk
1280,2015-08-12,fish
1281,2014-07-28,rolls/buns
1281,2014-07-28,hamburger meat
1281,2015-02-11,tropical fruit
1281,2015-02-11,coffee
1281,2015-02-11,newspapers
1281,2015-06-02,finished products
1281,2015-06-02,rolls/buns
1281,2015-06-02,oil
1281,2015-06-02,frozen vegetables
1282,2014-03-06,white bread
1282,2014-03-06,shopping bags
1282,2014-05-04,other vegetables
1282,2014-05-04,shopping bags
1282,2014-06-06,soda
1282,2014-06-06,bottled water
1282,2014-10-24,other vegetables
1282,2014-10-24,snack products
1282,2015-11-18,misc. beverages
1282,2015-11-18,yogurt
1283,2014-02-09,butter
1283,2014-02-09,bottled water
1283,2014-05-22,pork
1283,2014-05-22,bottled water
1283,2015-03-06,napkins
1283,2015-03-06,whipped/sour cream
1283,2015-03-15,whole milk
1283,2015-03-15,onions
1283,2015-03-15,cream cheese
1283,2015-05-30,bottled water
1283,2015-05-30,newspapers
1283,2015-05-30,specialty bar
1283,2015-09-22,root vegetables
1283,2015-09-22,chicken
1283,2015-11-13,uht-milk
1283,2015-11-13,frozen vegetables
1284,2014-06-26,margarine
1284,2014-06-26,rolls/buns
1284,2014-09-01,salty snack
1284,2014-09-01,soups
1285,2014-01-08,butter
1285,2014-01-08,rolls/buns
1285,2014-05-29,tropical fruit
1285,2014-05-29,chocolate marshmallow
1285,2014-05-29,napkins
1285,2014-05-29,bottled water
1285,2014-06-21,citrus fruit
1285,2014-06-21,ice cream
1285,2014-06-21,butter
1285,2014-06-21,shopping bags
1285,2014-10-27,pastry
1285,2014-10-27,soda
1285,2015-07-21,yogurt
1285,2015-07-21,hygiene articles
1286,2014-04-26,pork
1286,2014-04-26,domestic eggs
1286,2014-04-26,pickled vegetables
1286,2014-07-02,long life bakery product
1286,2014-07-02,root vegetables
1286,2014-07-19,bottled beer
1286,2014-07-19,hygiene articles
1286,2014-12-19,root vegetables
1286,2014-12-19,chewing gum
1286,2015-03-08,herbs
1286,2015-03-08,dessert
1286,2015-03-08,yogurt
1286,2015-07-10,meat
1286,2015-07-10,coffee
1286,2015-08-12,whole milk
1286,2015-08-12,soda
1287,2014-07-08,chicken
1287,2014-07-08,other vegetables
1287,2014-07-08,frozen meals
1287,2014-08-07,canned fruit
1287,2014-08-07,whipped/sour cream
1287,2014-11-08,soft cheese
1287,2014-11-08,flower (seeds)
1287,2015-01-28,frankfurter
1287,2015-01-28,pip fruit
1287,2015-08-28,whole milk
1287,2015-08-28,citrus fruit
1287,2015-08-28,pip fruit
1287,2015-08-28,butter
1287,2015-08-28,grapes
1287,2015-08-28,ice cream
1287,2015-08-28,margarine
1287,2015-08-28,whipped/sour cream
1288,2014-08-20,whole milk
1288,2014-08-20,packaged fruit/vegetables
1288,2014-08-20,abrasive cleaner
1288,2014-08-20,napkins
1288,2014-09-28,citrus fruit
1288,2014-09-28,whole milk
1288,2014-09-28,rolls/buns
1289,2014-05-09,rolls/buns
1289,2014-05-09,napkins
1289,2014-08-09,root vegetables
1289,2014-08-09,spread cheese
1289,2014-08-10,herbs
1289,2014-08-10,yogurt
1289,2014-08-10,prosecco
1289,2015-11-08,other vegetables
1289,2015-11-08,salty snack
1289,2015-11-08,brown bread
1289,2015-11-08,canned beer
1290,2014-02-18,rice
1290,2014-02-18,margarine
1290,2015-04-24,other vegetables
1290,2015-04-24,frankfurter
1290,2015-04-24,whole milk
1290,2015-04-24,sausage
1290,2015-04-24,misc. beverages
1290,2015-04-24,margarine
1290,2015-04-24,yogurt
1290,2015-04-24,frozen meals
1290,2015-04-24,cat food
1290,2015-09-22,sausage
1290,2015-09-22,whipped/sour cream
1291,2014-08-01,onions
1291,2014-08-01,sugar
1291,2014-08-01,mustard
1291,2014-08-01,rolls/buns
1291,2015-01-14,tropical fruit
1291,2015-01-14,citrus fruit
1291,2015-01-14,domestic eggs
1291,2015-01-14,rolls/buns
1291,2015-03-06,whole milk
1291,2015-03-06,rolls/buns
1291,2015-03-20,domestic eggs
1291,2015-03-20,fruit/vegetable juice
1292,2015-07-05,oil
1292,2015-07-05,whole milk
1292,2015-10-24,beverages
1292,2015-10-24,pork
1293,2014-08-16,canned beer
1293,2014-08-16,shopping bags
1293,2015-03-01,whole milk
1293,2015-03-01,light bulbs
1293,2015-03-05,dessert
1293,2015-03-05,tropical fruit
1293,2015-03-05,pip fruit
1293,2015-03-05,hard cheese
1293,2015-03-05,specialty fat
1293,2015-10-26,whole milk
1293,2015-10-26,specialty cheese
1294,2014-06-24,white wine
1294,2014-06-24,dishes
1294,2014-07-05,hygiene articles
1294,2014-07-05,semi-finished bread
1294,2014-08-14,root vegetables
1294,2014-08-14,soda
1294,2014-08-14,other vegetables
1294,2014-10-07,waffles
1294,2014-10-07,butter milk
1294,2014-10-07,domestic eggs
1294,2014-12-22,whipped/sour cream
1294,2014-12-22,soft cheese
1295,2014-03-13,other vegetables
1295,2014-03-13,soda
1295,2015-01-28,sausage
1295,2015-01-28,bottled water
1295,2015-07-23,frankfurter
1295,2015-07-23,chicken
1295,2015-07-23,processed cheese
1295,2015-07-23,dessert
1296,2014-02-24,pickled vegetables
1296,2014-02-24,uht-milk
1296,2014-02-24,long life bakery product
1296,2014-05-19,soft cheese
1296,2014-05-19,flower (seeds)
1296,2014-12-14,rice
1296,2014-12-14,bottled beer
1296,2015-08-20,tropical fruit
1296,2015-08-20,meat
1296,2015-08-20,hard cheese
1296,2015-08-20,jam
1296,2015-11-06,pip fruit
1296,2015-11-06,root vegetables
1296,2015-11-06,beverages
1296,2015-11-23,other vegetables
1296,2015-11-23,yogurt
1297,2014-01-31,yogurt
1297,2014-01-31,red/blush wine
1297,2014-03-04,herbs
1297,2014-03-04,domestic eggs
1297,2014-07-06,sausage
1297,2014-07-06,house keeping products
1297,2014-12-13,chicken
1297,2014-12-13,cream cheese
1297,2014-12-13,napkins
1298,2014-07-26,pastry
1298,2014-07-26,rolls/buns
1298,2015-06-23,chicken
1298,2015-06-23,soda
1298,2015-06-23,dishes
1298,2015-07-27,bottled beer
1298,2015-07-27,instant food products
1299,2014-02-23,rolls/buns
1299,2014-02-23,yogurt
1299,2014-11-20,canned beer
1299,2014-11-20,white bread
1299,2015-06-03,bottled beer
1299,2015-06-03,whole milk
1299,2015-06-03,salty snack
1299,2015-06-03,other vegetables
1300,2014-09-04,chicken
1300,2014-09-04,yogurt
1301,2014-01-30,whipped/sour cream
1301,2014-01-30,roll products
1301,2015-01-07,sausage
1301,2015-01-07,soda
1301,2015-01-07,frozen vegetables
1301,2015-11-03,pot plants
1301,2015-11-03,pip fruit
1302,2014-11-22,root vegetables
1302,2014-11-22,bottled water
1302,2014-12-02,shopping bags
1302,2014-12-02,hard cheese
1302,2014-12-02,yogurt
1302,2015-08-26,citrus fruit
1302,2015-08-26,butter
1302,2015-08-26,rolls/buns
1302,2015-09-29,fruit/vegetable juice
1302,2015-09-29,root vegetables
1303,2014-09-27,pip fruit
1303,2014-09-27,detergent
1303,2014-10-28,tropical fruit
1303,2014-10-28,pastry
1303,2015-03-29,canned beer
1303,2015-03-29,whole milk
1303,2015-03-29,bottled beer
1303,2015-05-29,whole milk
1303,2015-05-29,pastry
1303,2015-09-08,pasta
1303,2015-09-08,rolls/buns
1303,2015-09-08,margarine
1303,2015-09-08,canned fish
1303,2015-09-08,yogurt
1304,2014-06-07,hamburger meat
1304,2014-06-07,other vegetables
1304,2015-04-30,rolls/buns
1304,2015-04-30,whipped/sour cream
1304,2015-04-30,dishes
1304,2015-08-17,frankfurter
1304,2015-08-17,whole milk
1305,2014-07-26,spread cheese
1305,2014-07-26,root vegetables
1305,2015-05-23,sausage
1305,2015-05-23,white wine
1305,2015-05-23,candy
1305,2015-05-24,citrus fruit
1305,2015-05-24,tropical fruit
1305,2015-05-24,pork
1305,2015-05-24,other vegetables
1305,2015-05-24,whole milk
1305,2015-05-24,yogurt
1305,2015-05-24,flower (seeds)
1306,2015-01-08,yogurt
1306,2015-01-08,frozen vegetables
1306,2015-06-23,whole milk
1306,2015-06-23,pork
1306,2015-06-23,rolls/buns
1306,2015-06-23,yogurt
1306,2015-11-20,whole milk
1306,2015-11-20,chocolate marshmallow
1306,2015-11-20,rolls/buns
1307,2014-08-29,whole milk
1307,2014-08-29,sugar
1307,2014-10-03,pastry
1307,2014-10-03,canned beer
1307,2014-11-01,other vegetables
1307,2014-11-01,rolls/buns
1307,2014-12-15,hamburger meat
1307,2014-12-15,brown bread
1307,2015-06-22,meat
1307,2015-06-22,sausage
1307,2015-06-22,baking powder
1307,2015-06-22,pastry
1308,2014-01-11,napkins
1308,2014-01-11,pastry
1308,2014-08-21,white wine
1308,2014-08-21,waffles
1308,2014-11-23,brown bread
1308,2014-11-23,whole milk
1308,2015-03-14,pork
1308,2015-03-14,root vegetables
1309,2014-04-20,sausage
1309,2014-04-20,whipped/sour cream
1309,2014-05-06,pastry
1309,2014-05-06,pickled vegetables
1309,2014-05-06,margarine
1309,2014-08-10,curd
1309,2014-08-10,whipped/sour cream
1309,2014-12-23,dessert
1309,2014-12-23,butter
1309,2015-04-01,tropical fruit
1309,2015-04-01,cocoa drinks
1310,2014-04-13,hard cheese
1310,2014-04-13,salty snack
1310,2014-11-22,newspapers
1310,2014-11-22,salty snack
1311,2014-01-14,other vegetables
1311,2014-01-14,rolls/buns
1311,2015-02-12,candy
1311,2015-02-12,berries
1311,2015-02-12,mustard
1311,2015-06-29,rolls/buns
1311,2015-06-29,red/blush wine
1311,2015-06-29,canned beer
1312,2014-09-02,pip fruit
1312,2014-09-02,skin care
1312,2014-09-07,tropical fruit
1312,2014-09-07,rolls/buns
1312,2014-11-12,long life bakery product
1312,2014-11-12,waffles
